Journal Profile: IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile
2017,"21,496",4.288,4.113,4.140,1.007,286,9.2,8.1,0.024,1.051,98.60,2.77600,89.10300
2016,"18,902",3.577,3.388,3.407,0.663,264,9.2,8.1,0.02382,0.921,98.48,2.73290,85.06500
2015,"14,781",2.468,2.283,2.719,0.625,291,8.9,7.8,0.02447,0.887,99.31,2.78894,71.71100
2014,"14,435",2.347,2.117,2.567,0.519,293,8.7,7.5,0.02257,0.761,99.32,2.52766,63.81600
2013,"13,570",2.233,2.029,2.453,0.421,399,8.9,7.5,0.0231,0.769,99.50,2.54597,63.81600
2012,"12,805",2.348,2.120,2.525,0.406,394,8.5,7.3,0.02176,0.742,99.75,Not Available,67.72200
2011,"11,842",2.278,2.098,2.597,0.370,422,8.1,7.4,0.02085,0.726,100.00,Not Available,70.13900
2010,"10,426",1.790,1.630,2.347,0.342,316,8.5,7.9,0.02004,0.694,100.00,Not Available,55.00000
2009,"10,947",2.154,1.985,2.775,0.196,336,8.9,8.4,0.02413,0.817,100.00,Not Available,63.55900
2008,"10,943",2.496,2.316,3.301,0.361,335,8.3,8.1,0.0227,0.823,100.00,Not Available,72.11500
2007,"7,470",1.622,1.454,2.226,0.252,270,8.5,8.2,0.01917,0.707,99.63,Not Available,57.95500
2006,"7,328",2.302,2.027,Not Available,0.233,309,8.6,8.6,Not Available,Not Available,100.00,Not Available,75.00000
2005,"5,958",1.857,1.678,Not Available,0.276,239,9.0,8.3,Not Available,Not Available,100.00,Not Available,69.51200
2004,"6,423",1.815,1.598,Not Available,0.487,267,9.2,7.8,Not Available,Not Available,100.00,Not Available,75.00000
2003,"4,798",1.398,1.226,Not Available,0.201,159,9.7,7.9,Not Available,Not Available,99.37,Not Available,67.85700
2002,"5,214",1.665,1.460,Not Available,0.198,192,9.3,7.6,Not Available,Not Available,100.00,Not Available,76.25000
2001,"4,748",1.525,1.370,Not Available,0.118,170,9.2,8.2,Not Available,Not Available,100.00,Not Available,85.89700
2000,"4,483",1.566,1.376,Not Available,0.168,197,9.2,8.3,Not Available,Not Available,100.00,Not Available,71.95100
1999,"4,839",1.561,1.429,Not Available,0.222,167,8.8,8.9,Not Available,Not Available,100.00,Not Available,82.55800
1998,"3,666",1.202,1.066,Not Available,0.194,160,8.9,8.8,Not Available,Not Available,100.00,Not Available,74.44400
1997,"3,282",1.174,1.013,Not Available,0.093,150,8.6,9.3,Not Available,Not Available,100.00,Not Available,69.51200
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
